107,YOSEMITE,Travis Scott,6366943,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,2019-01-25,Global,2019-01-25,Global
108,Let Me Down Slowly,Alec Benjamin,6360657,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-01-25,Global,2019-01-25,Global
109,IDGAF,Dua Lipa,6356736,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019-01-25,Global,2019-01-25,Global
110,God is a woman,Ariana Grande,6344806,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,2019-01-25,Global,2019-01-25,Global
111,MIDDLE CHILD,J. Cole,6236225,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-01-25,Global,2019-01-25,Global
112,changes,XXXTENTACION,6198172,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,2019-01-25,Global,2019-01-25,Global
113,Thunder,Imagine Dragons,6086453,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019-01-25,Global,2019-01-25,Global
114,Falling Down - Bonus Track,Lil Peep,6082291,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,2019-01-25,Global,2019-01-25,Global
115,Ya No Tiene Novio,Sebastian Yatra,6078610,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-25,Global,2019-01-25,Global
116,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,6075278,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47,2019-01-25,Global,2019-01-25,Global
117,Créeme,KAROL G,6027558,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-25,Global,2019-01-25,Global
118,Too Good At Goodbyes,Sam Smith,6008781,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-01-25,Global,2019-01-25,Global
119,Splashin,Rich The Kid,6003048,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,2019-01-25,Global,2019-01-25,Global
120,BAD!,XXXTENTACION,5987440,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,2019-01-25,Global,2019-01-25,Global
121,This Feeling,The Chainsmokers,5980932,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-01-25,Global,2019-01-25,Global
122,Havana (feat. Young Thug),Camila Cabello,5980867,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-01-25,Global,2019-01-25,Global
123,Best Part (feat. Daniel Caesar),H.E.R.,5975363,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-01-25,Global,2019-01-25,Global
124,Shotgun,George Ezra,5950603,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019-01-25,Global,2019-01-25,Global
125,FEFE,6ix9ine,5920981,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,2019-01-25,Global,2019-01-25,Global
126,Te Boté - Remix,Nio Garcia,5895098,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019-01-25,Global,2019-01-25,Global
127,Space Cadet (feat. Gunna),Metro Boomin,5885691,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,2019-01-25,Global,2019-01-25,Global
128,I Fall Apart,Post Malone,5863791,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019-01-25,Global,2019-01-25,Global
129,Happy Now,Kygo,5853211,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019-01-25,Global,2019-01-25,Global
130,The Middle,Zedd,5803287,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019-01-25,Global,2019-01-25,Global
131,I Love It (& Lil Pump),Kanye West,5779066,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019-01-25,Global,2019-01-25,Global
132,Say You Won't Let Go,James Arthur,5773405,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-01-25,Global,2019-01-25,Global
133,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,5759252,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-01-25,Global,2019-01-25,Global
134,Mile High,James Blake,5687330,https://open.spotify.com/track/64ydkbrt0xhdJXRaam06Mc,2019-01-25,Global,2019-01-25,Global
135,New Rules,Dua Lipa,5677513,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,2019-01-25,Global,2019-01-25,Global
136,Rise,Jonas Blue,5645925,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019-01-25,Global,2019-01-25,Global
137,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,5638330,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3,2019-01-25,Global,2019-01-25,Global
138,Under Pressure - Remastered,Queen,5630826,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019-01-25,Global,2019-01-25,Global
139,Fuck Love (feat. Trippie Redd),XXXTENTACION,5624912,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,2019-01-25,Global,2019-01-25,Global
140,Someone You Loved,Lewis Capaldi,5621433,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-01-25,Global,2019-01-25,Global
141,Culpables,KAROL G,5549843,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-25,Global,2019-01-25,Global
142,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,5504907,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2019-01-25,Global,2019-01-25,Global
143,Electricity (with Dua Lipa),Silk City,5485879,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2019-01-25,Global,2019-01-25,Global
144,Fine China,Future,5477851,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN,2019-01-25,Global,2019-01-25,Global
145,Noticed,Lil Mosey,5475910,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP,2019-01-25,Global,2019-01-25,Global
146,FRIENDS,Marshmello,5469978,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019-01-25,Global,2019-01-25,Global
147,Always Remember Us This Way,Lady Gaga,5449652,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019-01-25,Global,2019-01-25,Global
148,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,5416639,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019-01-25,Global,2019-01-25,Global
149,Asesina - Remix,Brytiago,5366409,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019-01-25,Global,2019-01-25,Global
150,Trampoline,SHAED,5359369,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,2019-01-25,Global,2019-01-25,Global
151,SOLO,JENNIE,5337489,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-25,Global,2019-01-25,Global
152,Amigos Con Derechos,Reik,5322672,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-25,Global,2019-01-25,Global
153,I'm a Mess,Bebe Rexha,5308978,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,2019-01-25,Global,2019-01-25,Global
154,Look Alive (feat. Drake),BlocBoy JB,5281918,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,2019-01-25,Global,2019-01-25,Global
155,Woman Like Me (feat. Nicki Minaj),Little Mix,5274936,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019-01-25,Global,2019-01-25,Global
156,Congratulations,Post Malone,5183853,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2019-01-25,Global,2019-01-25,Global
157,In My Blood,Shawn Mendes,5149665,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,2019-01-25,Global,2019-01-25,Global
158,Somebody To Love - 2011 Mix,Queen,5141601,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,2019-01-25,Global,2019-01-25,Global
159,XO Tour Llif3,Lil Uzi Vert,5087518,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2019-01-25,Global,2019-01-25,Global
160,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,5055315,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,2019-01-25,Global,2019-01-25,Global
161,Thunderclouds,Sia,5021106,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2019-01-25,Global,2019-01-25,Global
162,Pure Water (with Migos),Mustard,4971065,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019-01-25,Global,2019-01-25,Global
163,Love Lies (with Normani),Khalid,4940975,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2019-01-25,Global,2019-01-25,Global
164,Sola,Manuel Turizo,4932374,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-25,Global,2019-01-25,Global
165,Closer,The Chainsmokers,4895732,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019-01-25,Global,2019-01-25,Global
166,bellyache,Billie Eilish,4893874,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,2019-01-25,Global,2019-01-25,Global
167,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,4880234,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth,2019-01-25,Global,2019-01-25,Global
168,Thinking out Loud,Ed Sheeran,4837387,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2019-01-25,Global,2019-01-25,Global
169,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,4834017,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2019-01-25,Global,2019-01-25,Global
170,Jackie Chan,Tiësto,4819228,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,2019-01-25,Global,2019-01-25,Global
171,Jumpin on a Jet,Future,4813197,https://open.spotify.com/track/1I3ZAmPmbFV78oNKnibOiW,2019-01-25,Global,2019-01-25,Global
172,So Close,NOTD,4811741,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,2019-01-25,Global,2019-01-25,Global
173,PPP,Kevin Roldan,4786078,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019-01-25,Global,2019-01-25,Global
174,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,4758934,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2019-01-25,Global,2019-01-25,Global
175,Calling My Spirit,Kodak Black,4727806,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5,2019-01-25,Global,2019-01-25,Global
176,Everybody Dies In Their Nightmares,XXXTENTACION,4707913,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,2019-01-25,Global,2019-01-25,Global
177,ocean eyes,Billie Eilish,4693749,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019-01-25,Global,2019-01-25,Global
178,Ric Flair Drip (& Metro Boomin),Offset,4689153,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2019-01-25,Global,2019-01-25,Global
179,Lucky You (feat. Joyner Lucas),Eminem,4680885,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2019-01-25,Global,2019-01-25,Global
180,Africa,TOTO,4659170,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2019-01-25,Global,2019-01-25,Global
181,Photograph,Ed Sheeran,4658924,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2019-01-25,Global,2019-01-25,Global
