123,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,5707779,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-08-02,Global,2019-08-02,Global
124,Si Se Da,Myke Towers,5703517,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-08-02,Global,2019-08-02,Global
125,MIA (feat. Drake),Bad Bunny,5677653,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-08-02,Global,2019-08-02,Global
126,"break up with your girlfriend, i'm bored",Ariana Grande,5655961,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-08-02,Global,2019-08-02,Global
127,In My Mind,Dynoro,5624781,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-08-02,Global,2019-08-02,Global
128,Going Bad (feat. Drake),Meek Mill,5610815,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-08-02,Global,2019-08-02,Global
129,Take Me Back to London (feat. Stormzy),Ed Sheeran,5544248,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0,2019-08-02,Global,2019-08-02,Global
130,SAD!,XXXTENTACION,5537192,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-08-02,Global,2019-08-02,Global
131,Heaven,Avicii,5487016,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ,2019-08-02,Global,2019-08-02,Global
132,On My Way,Alan Walker,5484105,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,2019-08-02,Global,2019-08-02,Global
133,Only Human,Jonas Brothers,5464153,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,2019-08-02,Global,2019-08-02,Global
134,Be Alright,Dean Lewis,5451481,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2019-08-02,Global,2019-08-02,Global
135,Baby,Quality Control,5428317,https://open.spotify.com/track/2nKYHpmwjLaEOXS3o7QMiz,2019-08-02,Global,2019-08-02,Global
136,Don't Stop Me Now - 2011 Mix,Queen,5422609,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-08-02,Global,2019-08-02,Global
137,So Am I,Ava Max,5413726,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,2019-08-02,Global,2019-08-02,Global
138,Mother's Daughter,Miley Cyrus,5321690,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,2019-08-02,Global,2019-08-02,Global
139,2002,Anne-Marie,5306432,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-08-02,Global,2019-08-02,Global
140,Thunder,Imagine Dragons,5302737,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019-08-02,Global,2019-08-02,Global
141,wish you were gay,Billie Eilish,5302701,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,2019-08-02,Global,2019-08-02,Global
142,Best Part of Me (feat. YEBBA),Ed Sheeran,5299276,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis,2019-08-02,Global,2019-08-02,Global
143,Paradise,Bazzi,5281206,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,2019-08-02,Global,2019-08-02,Global
144,Say You Won't Let Go,James Arthur,5229413,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-08-02,Global,2019-08-02,Global
145,Pure Water (with Migos),Mustard,5224629,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8,2019-08-02,Global,2019-08-02,Global
146,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,5215962,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo,2019-08-02,Global,2019-08-02,Global
147,Another One Bites The Dust - Remastered 2011,Queen,5205041,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-08-02,Global,2019-08-02,Global
148,I Like Me Better,Lauv,5200314,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-08-02,Global,2019-08-02,Global
149,I Like It,Cardi B,5152538,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-08-02,Global,2019-08-02,Global
150,Moonlight,XXXTENTACION,5075179,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-08-02,Global,2019-08-02,Global
151,Secreto,Anuel AA,5057846,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-08-02,Global,2019-08-02,Global
152,Do You Remember,Chance the Rapper,5052724,https://open.spotify.com/track/67xBtV07CC73eFw7z5oCvU,2019-08-02,Global,2019-08-02,Global
153,Havana (feat. Young Thug),Camila Cabello,4998601,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-08-02,Global,2019-08-02,Global
154,Te Soñé De Nuevo,Ozuna,4998042,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa,2019-08-02,Global,2019-08-02,Global
155,Kill This Love,BLACKPINK,4978179,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2019-08-02,Global,2019-08-02,Global
156,BROWN SKIN GIRL,Blue Ivy,4904291,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP,2019-08-02,Global,2019-08-02,Global
157,Drip Too Hard (Lil Baby & Gunna),Lil Baby,4901475,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-08-02,Global,2019-08-02,Global
158,Adan y Eva,Paulo Londra,4880855,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,2019-08-02,Global,2019-08-02,Global
159,Who Do You Love,The Chainsmokers,4873913,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN,2019-08-02,Global,2019-08-02,Global
160,God's Plan,Drake,4831501,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-08-02,Global,2019-08-02,Global
161,Too Good At Goodbyes,Sam Smith,4825076,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-08-02,Global,2019-08-02,Global
162,Baila Conmigo (feat. Kelly Ruiz),Dayvi,4822103,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,2019-08-02,Global,2019-08-02,Global
163,Taste (feat. Offset),Tyga,4791890,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt,2019-08-02,Global,2019-08-02,Global
164,Sanguine Paradise,Lil Uzi Vert,4769090,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,2019-08-02,Global,2019-08-02,Global
165,Mekanın Sahibi,Norm Ender,4766769,https://open.spotify.com/track/3loy88Lp5qoTHhL8GhRfVZ,2019-08-02,Global,2019-08-02,Global
166,Something Just Like This,The Chainsmokers,4765132,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2019-08-02,Global,2019-08-02,Global
167,Leave Me Alone,NF,4754698,https://open.spotify.com/track/3EtyEzMpfKSaoVhPunvbRV,2019-08-02,Global,2019-08-02,Global
168,Africa,TOTO,4741690,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2019-08-02,Global,2019-08-02,Global
169,Body (feat. brando),Loud Luxury,4739026,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-08-02,Global,2019-08-02,Global
170,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,4733983,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk,2019-08-02,Global,2019-08-02,Global
171,Baila Baila Baila - Remix,Ozuna,4691893,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt,2019-08-02,Global,2019-08-02,Global
172,All Day Long,Chance the Rapper,4674004,https://open.spotify.com/track/1g3ErLqysBJ5EIGdYYMWFZ,2019-08-02,Global,2019-08-02,Global
173,Murder On My Mind,YNW Melly,4669196,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019-08-02,Global,2019-08-02,Global
174,Photograph,Ed Sheeran,4663696,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2019-08-02,Global,2019-08-02,Global
175,Jocelyn Flores,XXXTENTACION,4647842,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-08-02,Global,2019-08-02,Global
176,Closer,The Chainsmokers,4645262,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019-08-02,Global,2019-08-02,Global
177,Desconocidos,Mau y Ricky,4637017,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,2019-08-02,Global,2019-08-02,Global
178,La Boca - Remix,Mau y Ricky,4605291,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019-08-02,Global,2019-08-02,Global
179,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,4583385,https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N,2019-08-02,Global,2019-08-02,Global
180,Lost In Japan,Shawn Mendes,4579506,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019-08-02,Global,2019-08-02,Global
