141,Lost In Japan,Shawn Mendes,5127922,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019-04-26,Global,2019-04-26,Global
142,Pop Out (feat. Lil Tjay),Polo G,5110661,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi,2019-04-26,Global,2019-04-26,Global
143,Con Calma - Remix,Daddy Yankee,5096008,https://open.spotify.com/track/4au7FRcgZzChASRYu279xH,2019-04-26,Global,2019-04-26,Global
144,The Middle,Zedd,5073315,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019-04-26,Global,2019-04-26,Global
145,Love Someone,Lukas Graham,5071702,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-04-26,Global,2019-04-26,Global
146,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,5047138,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-04-26,Global,2019-04-26,Global
147,Under Pressure - Remastered,Queen,5041657,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019-04-26,Global,2019-04-26,Global
148,Too Good At Goodbyes,Sam Smith,5033361,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-04-26,Global,2019-04-26,Global
149,Say You Won't Let Go,James Arthur,5011902,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-04-26,Global,2019-04-26,Global
150,8,Billie Eilish,4977435,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r,2019-04-26,Global,2019-04-26,Global
151,What I Like About You (feat. Theresa Rex),Jonas Blue,4936152,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ,2019-04-26,Global,2019-04-26,Global
152,Cristina,Sebastian Yatra,4919343,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k,2019-04-26,Global,2019-04-26,Global
153,IDGAF,Dua Lipa,4873197,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019-04-26,Global,2019-04-26,Global
154,Natural,Imagine Dragons,4755228,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019-04-26,Global,2019-04-26,Global
155,Congratulations,Post Malone,4750182,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2019-04-26,Global,2019-04-26,Global
156,Shotgun,George Ezra,4741985,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019-04-26,Global,2019-04-26,Global
157,I Fall Apart,Post Malone,4704524,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019-04-26,Global,2019-04-26,Global
158,Havana (feat. Young Thug),Camila Cabello,4699477,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-04-26,Global,2019-04-26,Global
159,Beautiful (feat. Camila Cabello),Bazzi,4698170,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-04-26,Global,2019-04-26,Global
160,Rolex,Capital Bra,4675767,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF,2019-04-26,Global,2019-04-26,Global
161,Jamais Vu,BTS,4668981,https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa,2019-04-26,Global,2019-04-26,Global
162,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,4660952,https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp,2019-04-26,Global,2019-04-26,Global
163,In My Feelings,Drake,4658686,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-04-26,Global,2019-04-26,Global
164,FRIENDS,Marshmello,4631144,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019-04-26,Global,2019-04-26,Global
165,I Don't Belong In This Club,Why Don't We,4625685,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx,2019-04-26,Global,2019-04-26,Global
166,That's a Rack,Lil Uzi Vert,4607325,https://open.spotify.com/track/4pCEIQ6wBVuaJdER5bALtO,2019-04-26,Global,2019-04-26,Global
167,Speechless (feat. Erika Sirola),Robin Schulz,4604142,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-04-26,Global,2019-04-26,Global
168,This Feeling,The Chainsmokers,4598716,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-04-26,Global,2019-04-26,Global
169,Closer,The Chainsmokers,4598126,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019-04-26,Global,2019-04-26,Global
170,Moonlight,Gaullin,4587047,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW,2019-04-26,Global,2019-04-26,Global
171,Ela É do Tipo,MC Kevin o Chris,4579151,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP,2019-04-26,Global,2019-04-26,Global
