146,Boy With Luv (feat. Halsey),BTS,5285651,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2019-09-13,Global,2019-09-13,Global
147,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,5283881,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,2019-09-13,Global,2019-09-13,Global
148,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,5272881,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS,2019-09-13,Global,2019-09-13,Global
149,La Boca - Remix,Mau y Ricky,5257671,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019-09-13,Global,2019-09-13,Global
150,Be Honest (feat. Burna Boy),Jorja Smith,5253874,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd,2019-09-13,Global,2019-09-13,Global
151,The Git Up,Blanco Brown,5253633,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm,2019-09-13,Global,2019-09-13,Global
152,Don't Stop Me Now - 2011 Mix,Queen,5230535,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-09-13,Global,2019-09-13,Global
153,Moonlight,XXXTENTACION,5225139,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-09-13,Global,2019-09-13,Global
154,i'm so tired...,Lauv,5201403,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-09-13,Global,2019-09-13,Global
155,BUTTERFLY EFFECT,Travis Scott,5191691,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4,2019-09-13,Global,2019-09-13,Global
156,All Around The World (La La La),R3HAB,5163571,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,2019-09-13,Global,2019-09-13,Global
157,Mad Love,Mabel,5148067,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9,2019-09-13,Global,2019-09-13,Global
158,EARFQUAKE,"Tyler, The Creator",5140631,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,2019-09-13,Global,2019-09-13,Global
159,Ritual,Tiësto,5123612,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa,2019-09-13,Global,2019-09-13,Global
