1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,34579416,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-18,Global,Week,Region
167,Lucky You (feat. Joyner Lucas),Eminem,4910436,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2019-01-18,Global,2019-01-18,Global
168,Someone You Loved,Lewis Capaldi,4887346,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-01-18,Global,2019-01-18,Global
169,Nice For What,Drake,4832010,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,2019-01-18,Global,2019-01-18,Global
170,Calling My Spirit,Kodak Black,4803685,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5,2019-01-18,Global,2019-01-18,Global
171,Yes Indeed,Lil Baby,4761754,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,2019-01-18,Global,2019-01-18,Global
172,Photograph,Ed Sheeran,4727915,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2019-01-18,Global,2019-01-18,Global
173,Everybody Dies In Their Nightmares,XXXTENTACION,4712639,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,2019-01-18,Global,2019-01-18,Global
174,goosebumps,Travis Scott,4663320,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2019-01-18,Global,2019-01-18,Global
175,Ric Flair Drip (& Metro Boomin),Offset,4636999,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2019-01-18,Global,2019-01-18,Global
176,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,4629973,https://open.spotify.com/track/1PfUKiMDKIlPEF9FfdJawc,2019-01-18,Global,2019-01-18,Global
