,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
126,"Lost In Japan","Shawn Mendes",45527,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
127,"Woman Like Me (feat. Nicki Minaj)","Little Mix",45431,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
128,"Jackie Chan",Tiësto,45366,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
129,"Happy Now",Zedd,45009,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
130,"In My Feelings",Drake,44850,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
131,changes,XXXTENTACION,44793,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
132,"Keanu Reeves",Logic,44771,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
133,"In My Blood","Shawn Mendes",44755,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
134,Mutual,"Laura Tesoro",44388,https://open.spotify.com/track/7lcHczTxRgE1BMhLRSBd7b
135,"Balance ton quoi",Angèle,44013,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa
136,"Another One Bites The Dust - Remastered 2011",Queen,43764,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
137,"Always Remember Us This Way","Lady Gaga",43121,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
138,"New Rules","Dua Lipa",43095,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
139,Believer,"Imagine Dragons",42872,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
140,"SVP (feat. JoeyAK, Young Ellens & Sevn Alias)",Boef,42865,https://open.spotify.com/track/036HGg6Bs7n15m99zcnPwZ
141,"Wonderwall - Remastered",Oasis,42762,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
142,"Sale mood",Bramsito,42649,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm
143,Ellie,Regi,42499,https://open.spotify.com/track/0vJFpxm8SDKAzqtJyVNXFw
144,Flames,"David Guetta",42405,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
145,Better,Khalid,42356,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
146,"Ta reine",Angèle,42223,https://open.spotify.com/track/3iXhLi33EpUfcOwasC8un1
147,Wolves,"Selena Gomez",41753,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
148,"First Off (feat. Travis Scott)",Future,41534,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG
149,"Say You Won't Let Go","James Arthur",41451,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
150,"I'm Yours","Jason Mraz",41182,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
151,"Gorik Pt.1","Zwangere Guy",41160,https://open.spotify.com/track/0lU3UGPn2qMyr7UIm9TgqH
152,FeFe,"Koba LaD",41138,https://open.spotify.com/track/369Vi2C4a73xhxhowHNbSR
153,"Under Pressure - Remastered",Queen,41045,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
154,"So Close",NOTD,40503,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
155,"La dot","Aya Nakamura",40457,https://open.spotify.com/track/3aRgAfrt6aQW8IimLq2aVG
156,"Feel It Still","Portugal. The Man",40424,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
157,Thunder,"Imagine Dragons",40326,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
158,"All of Me","John Legend",39984,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
159,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",39669,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
160,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",39579,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
161,"I Love It (& Lil Pump)","Kanye West",39295,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
162,"Adan y Eva","Paulo Londra",39262,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
163,Happier,"Ed Sheeran",39258,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
164,Dingue,PLK,39061,https://open.spotify.com/track/4a4cTUsFiyPN8jaHt2xf18
165,"Perfect to Me",Anne-Marie,39043,https://open.spotify.com/track/0DC7Zs2qvAbNK1owWQ4mlL
166,KIKA,6ix9ine,38924,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
167,"Remind Me to Forget",Kygo,38746,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
168,"High On Life (feat. Bonn)","Martin Garrix",38551,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
169,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",38405,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
170,"No Stylist (feat. Drake)","French Montana",38381,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
171,Darkside,"Alan Walker",37986,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
172,Jalousie,Angèle,37677,https://open.spotify.com/track/3U5x1rplpJNKR3Xg88EfLi
173,Grip,Seeb,37651,https://open.spotify.com/track/3gicyfiEVMGONgzygpWjNT
174,Nevermind,"Dennis Lloyd",37601,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
175,"Without You (feat. Sandro Cavazza)",Avicii,37362,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
176,Everyday,Logic,37349,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
177,"Butterfly Doors","Lil Pump",37255,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
178,"Beautiful (feat. Camila Cabello)",Bazzi,37195,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
179,"Terug Naar Toen (feat. Lijpe)",Boef,37180,https://open.spotify.com/track/3ELaEOpbAaXnahwApLkUvR
180,"I'm a Mess","Bebe Rexha",37142,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
181,Jaloux,Dadju,37049,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT
182,"Feu de bois",Damso,37005,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
183,"La loi de Murphy",Angèle,36809,https://open.spotify.com/track/1UQKfmCH2wxVXTAVMUXiEj
184,"Wake Me Up",Avicii,36374,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
185,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,36197,https://open.spotify.com/track/77wz2VtAwxAwYOGTJrZBKT
186,"whoa (mind in awe)",XXXTENTACION,36075,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
187,Coño,Puri,36056,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
188,"Onder Ons","Eefje de Visser",36007,https://open.spotify.com/track/3frXdFRkeTuUlmigAdtd7E
189,Thunderclouds,Sia,35879,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
190,X-men,Lomepal,35798,https://open.spotify.com/track/6A3bL3MlU0l54kKlgpw0UT
191,"What A Time (feat. Niall Horan)","Julia Michaels",35730,https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT
192,"Anxiety (with Selena Gomez)","Julia Michaels",35487,https://open.spotify.com/track/1XJ93XskwJf7PCyIVLbNBt
193,"Hold My Girl","George Ezra",35467,https://open.spotify.com/track/42bbDWZ8WmXTH7PkYAlGLu
194,"Sweet Dreams (Are Made of This) - Remastered",Eurythmics,35322,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
195,bellyache,"Billie Eilish",35274,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
196,"I Miss You (feat. Julia Michaels)","Clean Bandit",35270,https://open.spotify.com/track/0Ult84lvFuqNvbyXwyRQ58
197,"Thinking out Loud","Ed Sheeran",35130,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
198,"Ocean (feat. Khalid)","Martin Garrix",35130,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
199,IJskoud,Nielson,34900,https://open.spotify.com/track/2zVNIG9cfMyFxt8XqJ64s4
200,"Zoutelande (feat. Geike)",BLØF,34864,https://open.spotify.com/track/7MOX3ibncypw3xGb4HZVFA
