,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
161,Imposible,"Luis Fonsi",42262,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
162,"Saturday Nights",Khalid,42002,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
163,"Dior 2001",RIN,41895,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
164,"One Kiss (with Dua Lipa)","Calvin Harris",41839,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
165,KIKA,6ix9ine,41518,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
166,"Just You and I","Tom Walker",40956,https://open.spotify.com/track/4Fvtl6P5d8h2lzzwhUCHHD
167,Youngblood,"5 Seconds of Summer",40838,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
168,Madrina,Maes,40728,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH
169,Believer,"Imagine Dragons",40479,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
170,"Kiss Me","Rea Garvey",40203,https://open.spotify.com/track/0fMPGhXjm1E1CGKkHRSBro
171,Thunder,"Imagine Dragons",40195,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
172,1000°C,Lomepal,39817,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou
173,"One Night Stand","Capital Bra",39665,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
174,"Under Pressure - Remastered",Queen,39064,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
175,"Blah Blah Blah","Armin van Buuren",38960,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
176,"Genau wie du",MoTrip,38845,https://open.spotify.com/track/5KugP0fInIKgxqymtNIOQC
177,Djadja,"Aya Nakamura",38562,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
178,"Last Hurrah","Bebe Rexha",38470,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
179,"Amore e Capoeira","Takagi & Ketra",38371,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
180,bloodline,"Ariana Grande",38317,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
181,needy,"Ariana Grande",38021,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
182,"Te Boté - Remix","Nio Garcia",37939,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
183,"I Like Me Better",Lauv,37850,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
184,"KHABIB (feat. HK)",Gringo,37805,https://open.spotify.com/track/2QPyhgmVuQ9baEval2D46C
185,"Havana (feat. Young Thug)","Camila Cabello",37640,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
186,"Be Like Me (feat. Lil Wayne)","Lil Pump",37482,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ
187,Africa,TOTO,37476,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
188,"Ohne mein Team","Bonez MC",37459,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
189,"Leave a Light On","Tom Walker",37375,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
190,"Nummer unterdrückt","Bonez MC",37294,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI
191,Yapma,"C ARMA",37213,https://open.spotify.com/track/1194zYf7UfSXP4omxVTmPa
192,"Born To Be Yours",Kygo,37178,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
193,"Peer Pressure (feat. Julia Michaels)","James Bay",37125,https://open.spotify.com/track/4JWQC6gyYoPRnxRxk0ta2M
194,"BONNIE & CLYDE",Loredana,36885,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
195,"Wake Up in the Sky","Gucci Mane",36562,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
196,"Without You (feat. Sandro Cavazza)",Avicii,36523,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
197,"I Love It (& Lil Pump)","Kanye West",36266,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
198,Mercedes,Eno,36174,https://open.spotify.com/track/3FHppoOv1gMexzC9XyMCFz
199,Chlorine,"Twenty One Pilots",36106,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau
200,"Happy Now",Zedd,36069,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
